categorie,type,prix,adresse,lien
chaussures-enfants,Chaussures enfants,500.0,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5726987_uploaded_image2_1768721889.jpeg
chaussures-enfants,Chaussures enfants,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg
chaussures-enfants,Chaussures enfants,20000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698971_uploaded_image1_1767319248.jpg
chaussures-enfants,Chaussures enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662804_uploaded_image1_1765242328.jpg
chaussures-enfants,Chaussures enfants,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5662795_uploaded_image1_1765241951.jpg
chaussures-enfants,Chaussures enfants,5000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5606532_uploaded_image1_1762343319.jpg
chaussures-enfants,Chaussures enfants,5000.0,"location_onGrand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5584411_uploaded_image1_1761044461.jpg
chaussures-enfants,Baskets Adidas enfants,15000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5578754_uploaded_image1_1760708246.jpg
chaussures-enfants,Baskets Nike,14000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg
chaussures-enfants,Chaussures enfants,18000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5556000_uploaded_image1_1759458374.jpg
chaussures-enfants,Chaussures enfant,2000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5555999_uploaded_image1_1759458125.jpg
chaussures-enfants,Baskets Nike TN pour enfants,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5553767_uploaded_image1_1759362000.jpg
chaussures-enfants,Chaussures Jordan enfants,20000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5551856_uploaded_image1_1759301538.jpg
chaussures-enfants,Chaussures Jordan enfants,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5551836_uploaded_image1_1759300588.jpg
chaussures-enfants,Chaussures enfants,5000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5545268_uploaded_image1_1758910584.jpg
chaussures-enfants,Chaussures enfants,18000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5515698_uploaded_image1_1757382428.jpg
chaussures-enfants,Chaussures enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5515694_uploaded_image1_1757382135.jpg
chaussures-enfants,Chaussures pour enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5512056_uploaded_image1_1757170918.jpg
