categorie,type,prix,adresse,lien
chaussures-homme,Chaussures homme,22500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5749905_uploaded_image1_1769782261.jpg
chaussures-homme,Crocs Bape,15000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5787454_uploaded_image1_1771773206.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771502_uploaded_image1_1770903126.jpg
chaussures-homme,Chaussures  homme,20000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771511_uploaded_image1_1770903306.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771496_uploaded_image1_1770903006.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771489_uploaded_image1_1770902889.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771479_uploaded_image1_1770902639.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771468_uploaded_image1_1770902125.jpg
chaussures-homme,Nike P6000,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771410_uploaded_image1_1770900442.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771415_uploaded_image1_1770900566.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771406_uploaded_image1_1770900318.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771400_uploaded_image1_1770900243.jpg
chaussures-homme,Chaussures  homme,25000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771387_uploaded_image1_1770899906.jpg
chaussures-homme,Chaussures  homme,23000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771394_uploaded_image1_1770900035.jpg
chaussures-homme,Chaussures  homme,23000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771368_uploaded_image1_1770899493.jpg
chaussures-homme,Chaussures  homme,23000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5771379_uploaded_image1_1770899713.jpg
chaussures-homme,Vêtements homme,9000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5786720_uploaded_image1_1771716679.jpg
chaussures-homme,Chaussures  homme,7500.0,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5784030_uploaded_image1_1771586629.jpg
chaussures-homme,Chaussures Prada,27000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5774787_uploaded_image1_1771102876.jpg
chaussures-homme,Yeezy foam,20000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5782019_uploaded_image1_1771503299.jpg
chaussures-homme,Crocs homme,12000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5782015_uploaded_image1_1771503221.jpg
chaussures-homme,Crocs homme,12000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5782011_uploaded_image1_1771503146.jpg
chaussures-homme,Chaussures homme en cuir,1300.0,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_5777594_uploaded_image1_1771289196.jpg
chaussures-homme,Sneaker,30000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5777043_uploaded_image1_1771263740.jpg
