categorie,type,prix,adresse,lien
vetements-enfants,Cemig alagi pour nuafna,7500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5772434_uploaded_image1_1770944074.jpg
vetements-enfants,Abaya enfants,7500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5779837_uploaded_image1_1771412632.jpg
vetements-enfants,Vêtements femmes,6000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5784278_uploaded_image1_1771594046.jpg
vetements-enfants,Djalabe enfants,7500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5737163_uploaded_image1_1769170576.jpg
vetements-enfants,Diabaté enfant,7500.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5764016_uploaded_image1_1770492074.jpg
vetements-enfants,Robe enfant,8500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5714692_uploaded_image1_1768087870.jpg
vetements-enfants,Maillot Sénégal enfant,6000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5708663_uploaded_image1_1767803374.jpg
vetements-enfants,Djallaba enfant,8500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5700235_uploaded_image1_1767387346.jpg
vetements-enfants,Blouson pour enfants original,8500.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5688318_uploaded_image1_1766596541.jpg
vetements-enfants,Vêtements enfants,6000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5725300_uploaded_image1_1768606477.jpg
vetements-enfants,Friperie enfants,3000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5693218_uploaded_image1_1766931703.jpg
vetements-enfants,Pantalon pour enfants original,8000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636849_uploaded_image1_1763913455.jpg
vetements-enfants,Emsemble coton pour enfants,7000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5636847_uploaded_image1_1763913261.jpg
vetements-enfants,Pulls et sweat-shirt enfants 4 ans,1500.0,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5677797_uploaded_image1_1766001882.jpg
vetements-enfants,3 bavoirs bandana,10000.0,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664243_uploaded_image1_1765306309.jpg
vetements-enfants,Blousons enfants,15000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662807_uploaded_image1_1765242466.jpg
vetements-enfants,Robe brodée,6000.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5657323_uploaded_image1_1764934741.jpg
vetements-enfants,Robe lin,6000.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5657317_uploaded_image1_1764934579.jpg
vetements-enfants,Robe,7000.0,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5657313_uploaded_image1_1764934382.jpg
vetements-enfants,Ensemble coton pour enfants de 3ans 7ans,4000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5549301_uploaded_image1_1759186593.jpg
vetements-enfants,Lacoste coton pour enfants de 3ans à 16ans,3500.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5549305_uploaded_image1_1759186714.jpg
vetements-enfants,Short enfants,6000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5532259_uploaded_image1_1758207295.jpg
vetements-enfants,Ensemble dêbadeur enfants,2500.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524248_uploaded_image1_1757797576.jpg
vetements-enfants,Ensemble costume pour enfants,35000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5528024_uploaded_image1_1758018544.jpg
vetements-enfants,Pantalon  enfant,100000000.0,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528006_uploaded_image1_1758017811.jpg
vetements-enfants,Ensembles lacost pour garçon,3000.0,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524048_uploaded_image1_1757787175.jpg
