categorie,type,prix,adresse,lien
vetements-homme,Abaya homme,10000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5779842_uploaded_image1_1771412780.jpg
vetements-homme,Abaya homme,10000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5779835_uploaded_image1_1771412472.jpg
vetements-homme,Nuasame pour homme,20000.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5758109_uploaded_image1_1770212300.jpg
vetements-homme,Djalabe homme,8500.0,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5737158_uploaded_image1_1769170472.jpg
vetements-homme,Ensembles Jalabas Homme,9000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5776991_uploaded_image1_1771261720.jpg
vetements-homme,Abaya xaftan coton long manche avec pantalon,11000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5768088_uploaded_image1_1770732290.jpg
vetements-homme,Abaya vip courte manche avec pantalon,12000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5764009_uploaded_image1_1770491470.jpg
vetements-homme,Jalaba homme,7000.0,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5764002_uploaded_image1_1770490927.jpg
vetements-homme,Abaya dubai,10000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5762558_uploaded_image1_1770408394.jpg
vetements-homme,Mentos saoudien,17000.0,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5762382_uploaded_image1_1770402318.jpg
vetements-homme,Pantalon cargo,8000.0,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5758901_uploaded_image1_1770244788.jpg
vetements-homme,Vêtements homme,13000.0,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5758698_uploaded_image1_1770237751.jpg
