web_scraper_order,web_scraper_start_url,type_chaussure,prix,adresse,image_lien
"1771244232-1","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758574_uploaded_image1_1770232202.jpg"
"1771244232-2","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758573_uploaded_image1_1770232189.jpg"
"1771244232-3","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures bébé et enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5758572_uploaded_image1_1770232144.jpg"
"1771244232-4","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures bébés et enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5758569_uploaded_image1_1770231833.jpg"
"1771244232-5","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5726987_uploaded_image2_1768721889.jpeg"
"1771244232-6","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5698980_uploaded_image1_1767320096.jpg"
"1771244232-7","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5698971_uploaded_image1_1767319248.jpg"
"1771244232-8","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5662804_uploaded_image1_1765242328.jpg"
"1771244232-9","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5662795_uploaded_image1_1765241951.jpg"
"1771244232-10","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","5 000CFA","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_5606532_uploaded_image1_1762343319.jpg"
"1771244232-11","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","5 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_5584411_uploaded_image1_1761044461.jpg"
"1771244232-12","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Baskets Adidas enfants","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5578754_uploaded_image1_1760708246.jpg"
"1771244232-13","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Baskets Nike","14 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_5568313_uploaded_image1_1760122555.jpg"
"1771244232-14","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","18 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5556000_uploaded_image1_1759458374.jpg"
"1771244232-15","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","2 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5555999_uploaded_image1_1759458125.jpg"
"1771244232-16","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Baskets Nike TN pour enfants","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5553767_uploaded_image1_1759362000.jpg"
"1771244232-17","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures Jordan enfants","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5551856_uploaded_image1_1759301538.jpg"
"1771244232-18","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures Jordan enfants","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5551836_uploaded_image1_1759300588.jpg"
"1771244232-19","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","5 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5545268_uploaded_image1_1758910584.jpg"
"1771244232-20","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5542655_uploaded_image1_1758784796.jpg"
"1771244232-21","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_5540293_uploaded_image1_1758655238.jpg"
"1771244232-22","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","18 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5515698_uploaded_image1_1757382428.jpg"
"1771244232-23","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5515694_uploaded_image1_1757382135.jpg"
"1771244232-24","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures pour enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5512056_uploaded_image1_1757170918.jpg"
"1771244232-25","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants et bébés","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5507047_uploaded_image1_1756915193.jpg"
"1771244232-26","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5503839_uploaded_image1_1756775841.jpg"
"1771244232-27","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5503837_uploaded_image2_1756775448.jpeg"
"1771244232-28","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_5494505_uploaded_image1_1756248709.jpg"
"1771244232-29","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Bottes de pluie pour fille de 3 ans","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5491455_uploaded_image1_1756082236.jpg"
"1771244232-30","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","7 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416770_uploaded_image1_1752155346.jpg"
"1771244232-31","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","7 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5416767_uploaded_image1_1752155258.jpg"
"1771244232-32","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","8 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5388880_uploaded_image1_1750707623.jpg"
"1771244232-33","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_5327025_uploaded_image1_1747213897.jpg"
"1771244232-34","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5323154_uploaded_image1_1747018204.jpg"
"1771244232-35","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","3 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5294713_uploaded_image1_1745421584.jpg"
"1771244232-36","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","3 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_5294302_uploaded_image1_1745410325.jpg"
"1771244232-37","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","18 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5284799_uploaded_image1_1744814056.jpg"
"1771244232-38","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","18 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5284783_uploaded_image1_1744813725.jpg"
"1771244232-39","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures pour enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5269411_uploaded_image1_1744009165.jpg"
"1771244232-40","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","2 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5253810_uploaded_image1_1743097199.jpg"
"1771244232-41","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5231318_uploaded_image1_1741923251.jpg"
"1771244232-42","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5231304_uploaded_image1_1741922219.jpg"
"1771244232-43","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","8 500CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181134_uploaded_image1_1739295232.jpg"
"1771244232-44","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","7 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181139_uploaded_image1_1739295381.jpg"
"1771244232-45","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfant","10 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5181147_uploaded_image1_1739295472.jpg"
"1771244232-46","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Baskets Nike Jordan","20 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_5210436_uploaded_image1_1740934512.jpg"
"1771244232-47","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Ballerines enfants","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5141832_uploaded_image1_1737242187.jpg"
"1771244232-48","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Chaussures enfants","2 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5125946_uploaded_image1_1736370156.jpg"
"1771244232-49","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Baskets enfant","3 500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5080430_uploaded_image1_1733555952.jpg"
"1771244232-50","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Basket","5 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_5080428_uploaded_image1_1733555768.jpg"
"1771244232-51","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Claquettes","8 450CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_5047806_uploaded_image1_1731804849.jpg"
"1771244232-52","https://sn.coinafrique.com/categorie/chaussures-enfants?8","Ensemble chaussures et chaussettes pour bebe","1 800CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5037805_uploaded_image1_1731321094.jpg"
