web_scraper_order,web_scraper_start_url,type_habits,prix,adresse,image_lien
"1771242777-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_929221_uploaded_image1_1568130227.07.png"
"1771242777-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements Enfant","Prix sur demande","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_929220_uploaded_image1_1568130345.41.png"
"1771242777-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_918132_uploaded_image1_1567810084.62.png"
"1771242777-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","10 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_918128_uploaded_image1_1567809825.27.png"
"1771242777-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","10 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_918127_uploaded_image1_1567809637.8.png"
"1771242777-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","21 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_918122_uploaded_image1_1567809516.5.png"
"1771242777-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Blouson enfant","16 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_915850_uploaded_image1_1567763636.38.png"
"1771242777-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_902731_uploaded_image1_1567471827.27.png"
"1771242777-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Langes bébé","7 000CFA","Patte d'Oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_902542_uploaded_image1_1567465870.43.png"
"1771242777-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Gigoteuse","10 000CFA","Sénégal","https://images.coinafrique.com/thumb_894885_uploaded_image1_1567205957.07.png"
"1771242777-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Blouson enfant","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_892154_uploaded_image1_1567155680.4.png"
"1771242777-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_889084_uploaded_image1_1567081638.65.png"
"1771242777-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Robe enfant","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_889080_uploaded_image1_1567081597.59.png"
"1771242777-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtements enfants","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_882774_uploaded_image1_1566929353.89.png"
"1771242777-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=21","Vêtement  bébé","6 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_882678_uploaded_image1_1566927510.43.png"
