web_scraper_order,web_scraper_start_url,type_habit,prix,adresse,lien_image
"1771239449-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2205979_uploaded_image1_1590965524.jpg"
"1771239449-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2205977_uploaded_image1_1590965489.jpg"
"1771239449-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2205670_uploaded_image1_1590961746.jpg"
"1771239449-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2205261_uploaded_image1_1590956227.jpg"
"1771239449-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Bombers","13 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2205168_uploaded_image1_1590955066.jpg"
"1771239449-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt coton","Prix sur demande","Geule Tapée, Dakar, Sénégal","https://images.coinafrique.com/thumb_2204961_uploaded_image1_1590951580.jpg"
"1771239449-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Polo - Pantalon","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204694_uploaded_image1_1590947738.jpg"
"1771239449-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Polo - Pantalon","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204691_uploaded_image1_1590947693.jpg"
"1771239449-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204687_uploaded_image1_1590947650.jpg"
"1771239449-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble jogging","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204636_uploaded_image1_1590946712.jpg"
"1771239449-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble t-shirt chaussures","17 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204615_uploaded_image1_1590946424.jpg"
"1771239449-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble t-shirt - chaussures","17 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204613_uploaded_image1_1590946377.jpg"
"1771239449-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Blouson","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204607_uploaded_image1_1590946319.jpg"
"1771239449-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Blouson","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2204603_uploaded_image1_1590946279.jpg"
"1771239449-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt homme","6 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2203690_uploaded_image1_1590932194.jpg"
"1771239449-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2203155_uploaded_image1_1590925702.jpg"
"1771239449-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2203152_uploaded_image1_1590925667.jpg"
"1771239449-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2203150_uploaded_image1_1590925637.jpg"
"1771239449-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemises Giant","17 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2203142_uploaded_image1_1590925540.jpg"
"1771239449-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemises Giant","17 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2203140_uploaded_image1_1590925473.jpg"
"1771239449-21","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2203135_uploaded_image1_1590925302.jpg"
"1771239449-22","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemises Giant","17 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2203128_uploaded_image1_1590925208.jpg"
"1771239449-23","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon jeans","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2203003_uploaded_image1_1590922327.jpg"
"1771239449-24","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon jeans","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2203001_uploaded_image1_1590922298.jpg"
"1771239449-25","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble t-shirt","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201841_uploaded_image1_1590884253.jpg"
"1771239449-26","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201839_uploaded_image1_1590884222.jpg"
"1771239449-27","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201837_uploaded_image1_1590884193.jpg"
"1771239449-28","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201834_uploaded_image1_1590884159.jpg"
"1771239449-29","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201831_uploaded_image1_1590884138.jpg"
"1771239449-30","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201830_uploaded_image1_1590884118.jpg"
"1771239449-31","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201827_uploaded_image1_1590884022.jpg"
"1771239449-32","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201825_uploaded_image1_1590883991.jpg"
"1771239449-33","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201822_uploaded_image1_1590883954.jpg"
"1771239449-34","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble kaki lacoste","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201773_uploaded_image1_1590883062.jpg"
"1771239449-35","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirt couple","5 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201447_uploaded_image1_1590877410.jpg"
"1771239449-36","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble Vêtements Hommes","9 500CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2201223_uploaded_image1_1590873571.jpg"
"1771239449-37","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tuniques homme","Prix sur demande","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199823_uploaded_image1_1590849436.jpg"
"1771239449-38","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble short","10 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199757_uploaded_image1_1590848656.jpg"
"1771239449-39","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Combinaison homme","12 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199746_uploaded_image1_1590848564.jpg"
"1771239449-40","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Débardeur homme","4 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199730_uploaded_image1_1590848392.jpg"
"1771239449-41","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble short","10 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199720_uploaded_image1_1590848303.jpg"
"1771239449-42","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble short","10 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199713_uploaded_image1_1590848212.jpg"
"1771239449-43","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199467_uploaded_image1_1590845239.jpg"
"1771239449-44","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2199445_uploaded_image1_1590845061.jpg"
"1771239449-45","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Kaki de luxe","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2199439_uploaded_image1_1590845025.jpg"
"1771239449-46","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon kaki","12 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2199432_uploaded_image1_1590844985.jpg"
"1771239449-47","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemises Giant","17 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199415_uploaded_image1_1590844835.jpg"
"1771239449-48","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirts homme","11 500CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199325_uploaded_image1_1590843737.jpg"
"1771239449-49","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble lacoste kaki","11 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198774_uploaded_image1_1590838193.jpg"
"1771239449-50","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198726_uploaded_image1_1590837758.jpg"
"1771239449-51","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198716_uploaded_image1_1590837667.jpg"
"1771239449-52","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble chomme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198709_uploaded_image1_1590837600.jpg"
"1771239449-53","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198585_uploaded_image1_1590836253.jpg"
"1771239449-54","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198582_uploaded_image1_1590836210.jpg"
"1771239449-55","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198342_uploaded_image1_1590834477.jpg"
"1771239449-56","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198292_uploaded_image1_1590834135.jpg"
"1771239449-57","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements Homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198269_uploaded_image1_1590833952.jpg"
"1771239449-58","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements hommes","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198259_uploaded_image1_1590833872.jpg"
"1771239449-59","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197635_uploaded_image1_1590827558.jpg"
"1771239449-60","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste homme","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197625_uploaded_image1_1590827486.jpg"
"1771239449-61","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste Homme","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197617_uploaded_image1_1590827440.jpg"
"1771239449-62","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste homme","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197608_uploaded_image1_1590827387.jpg"
"1771239449-63","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197603_uploaded_image1_1590827349.jpg"
"1771239449-64","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196565_uploaded_image1_1590797135.jpg"
"1771239449-65","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196564_uploaded_image1_1590797069.jpg"
